coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
575,74,80,0.0000,2019.5.15.14.5.27,640,480,640,480
575,76,91,0.0000,2019.5.15.14.5.28,640,480,640,480
576,74,83,0.0000,2019.5.15.14.5.28,640,480,640,480
577,74,78,0.0000,2019.5.15.14.5.28,640,480,640,480
576,76,77,20.4444,2019.5.15.14.5.28,640,480,640,480
576,76,78,4.5319,2019.5.15.14.5.28,640,480,640,480
577,77,75,16.0609,2019.5.15.14.5.28,640,480,640,480
577,74,77,16.0609,2019.5.15.14.5.28,640,480,640,480
576,76,77,2.2556,2019.5.15.14.5.28,640,480,640,480
577,79,77,8.1898,2019.5.15.14.5.29,640,480,640,480
578,80,77,5.1030,2019.5.15.14.5.29,640,480,640,480
577,79,76,2.6797,2019.5.15.14.5.29,640,480,640,480
577,80,76,3.0692,2019.5.15.14.5.29,640,480,640,480
577,81,77,3.7708,2019.5.15.14.5.29,640,480,640,480
576,80,76,4.9719,2019.5.15.14.5.29,640,480,640,480
577,77,77,1.0230,2019.5.15.14.5.29,640,480,640,480
577,77,77,0.9028,2019.5.15.14.5.29,640,480,640,480
578,78,77,0.9077,2019.5.15.14.5.30,640,480,640,480
577,78,76,0.8423,2019.5.15.14.5.30,640,480,640,480
577,79,76,0.8416,2019.5.15.14.5.30,640,480,640,480
577,81,76,0.7444,2019.5.15.14.5.30,640,480,640,480
577,81,76,0.6620,2019.5.15.14.5.30,640,480,640,480
578,81,76,1.3792,2019.5.15.14.5.30,640,480,640,480
577,83,76,2.1087,2019.5.15.14.5.30,640,480,640,480
577,78,76,0.8889,2019.5.15.14.5.31,640,480,640,480
576,78,77,3.0891,2019.5.15.14.5.31,640,480,640,480
577,77,76,4.1900,2019.5.15.14.5.31,640,480,640,480
576,79,77,2.1740,2019.5.15.14.5.31,640,480,640,480
576,82,77,1.1365,2019.5.15.14.5.31,640,480,640,480
577,81,77,2.4528,2019.5.15.14.5.31,640,480,640,480
575,74,80,0.0000,2019.5.15.14.7.32,640,480,640,480
575,76,91,0.0000,2019.5.15.14.7.32,640,480,640,480
576,74,83,0.0000,2019.5.15.14.7.32,640,480,640,480
577,74,78,0.0000,2019.5.15.14.7.32,640,480,640,480
576,76,78,12.4707,2019.5.15.14.7.32,640,480,640,480
576,76,78,6.6216,2019.5.15.14.7.32,640,480,640,480
577,77,75,7.8743,2019.5.15.14.7.32,640,480,640,480
577,74,77,7.8743,2019.5.15.14.7.33,640,480,640,480
576,76,77,2.3449,2019.5.15.14.7.33,640,480,640,480
577,79,77,8.3348,2019.5.15.14.7.33,640,480,640,480
578,80,77,5.7998,2019.5.15.14.7.33,640,480,640,480
577,79,76,4.0502,2019.5.15.14.7.33,640,480,640,480
577,80,76,4.2920,2019.5.15.14.7.33,640,480,640,480
577,81,77,3.4732,2019.5.15.14.7.33,640,480,640,480
576,80,76,4.1507,2019.5.15.14.7.33,640,480,640,480
577,77,77,2.2432,2019.5.15.14.7.34,640,480,640,480
577,77,77,1.6537,2019.5.15.14.7.34,640,480,640,480
578,78,77,1.3711,2019.5.15.14.7.34,640,480,640,480
577,78,76,1.6464,2019.5.15.14.7.34,640,480,640,480
577,79,76,0.0000,2019.5.15.14.7.34,640,480,640,480
577,81,76,1.1698,2019.5.15.14.7.34,640,480,640,480
577,81,76,0.6344,2019.5.15.14.7.34,640,480,640,480
578,81,76,0.6789,2019.5.15.14.7.34,640,480,640,480
577,83,76,5.1908,2019.5.15.14.7.35,640,480,640,480
577,78,76,0.9421,2019.5.15.14.7.35,640,480,640,480
576,78,77,1.1215,2019.5.15.14.7.35,640,480,640,480
577,77,76,0.7504,2019.5.15.14.7.35,640,480,640,480
576,79,77,0.8218,2019.5.15.14.7.35,640,480,640,480
576,82,77,2.1799,2019.5.15.14.7.35,640,480,640,480
577,81,77,0.5712,2019.5.15.14.7.35,640,480,640,480
576,80,77,1.5086,2019.5.15.14.7.35,640,480,640,480
576,82,77,1.1284,2019.5.15.14.7.35,640,480,640,480
577,82,77,3.1509,2019.5.15.14.7.36,640,480,640,480
576,81,77,2.3352,2019.5.15.14.7.36,640,480,640,480
576,81,77,2.0759,2019.5.15.14.7.36,640,480,640,480
576,83,77,3.0875,2019.5.15.14.7.36,640,480,640,480
576,83,77,1.8735,2019.5.15.14.7.36,640,480,640,480
576,82,77,0.9590,2019.5.15.14.7.36,640,480,640,480
576,82,77,1.5315,2019.5.15.14.7.36,640,480,640,480
575,83,77,1.5642,2019.5.15.14.7.36,640,480,640,480
576,81,77,0.9468,2019.5.15.14.7.37,640,480,640,480
576,82,76,0.9469,2019.5.15.14.7.37,640,480,640,480
576,81,77,0.0000,2019.5.15.14.7.37,640,480,640,480
576,82,77,0.7622,2019.5.15.14.7.37,640,480,640,480
576,80,77,2.0137,2019.5.15.14.7.37,640,480,640,480
576,79,77,2.4330,2019.5.15.14.7.37,640,480,640,480
574,79,77,3.5394,2019.5.15.14.7.37,640,480,640,480
576,80,77,0.9542,2019.5.15.14.7.38,640,480,640,480
575,80,77,1.8447,2019.5.15.14.7.38,640,480,640,480
576,80,77,0.0000,2019.5.15.14.7.38,640,480,640,480
577,80,77,0.5021,2019.5.15.14.7.38,640,480,640,480
575,82,75,2.7558,2019.5.15.14.7.38,640,480,640,480
575,81,76,0.7682,2019.5.15.14.7.38,640,480,640,480
575,81,76,1.1084,2019.5.15.14.7.39,640,480,640,480
575,82,76,1.5586,2019.5.15.14.7.39,640,480,640,480
575,81,75,2.1435,2019.5.15.14.7.39,640,480,640,480
575,81,76,1.5594,2019.5.15.14.7.39,640,480,640,480
575,81,76,0.6355,2019.5.15.14.7.39,640,480,640,480
574,81,76,0.6208,2019.5.15.14.7.39,640,480,640,480
574,82,76,0.6612,2019.5.15.14.7.39,640,480,640,480
574,82,77,0.9303,2019.5.15.14.7.40,640,480,640,480
576,82,76,1.4106,2019.5.15.14.7.40,640,480,640,480
576,83,77,1.0096,2019.5.15.14.7.40,640,480,640,480
575,80,78,1.7924,2019.5.15.14.7.40,640,480,640,480
575,81,76,0.0000,2019.5.15.14.7.40,640,480,640,480
576,81,77,0.7968,2019.5.15.14.7.40,640,480,640,480
576,81,77,1.2479,2019.5.15.14.7.40,640,480,640,480
574,79,76,2.6924,2019.5.15.14.7.40,640,480,640,480
575,81,76,1.0778,2019.5.15.14.7.41,640,480,640,480
575,82,75,0.7973,2019.5.15.14.7.41,640,480,640,480
575,82,75,1.4812,2019.5.15.14.7.41,640,480,640,480
575,82,75,2.2994,2019.5.15.14.7.41,640,480,640,480
576,81,76,1.3170,2019.5.15.14.7.41,640,480,640,480
575,82,77,1.0627,2019.5.15.14.7.41,640,480,640,480
575,82,77,1.2347,2019.5.15.14.7.41,640,480,640,480
576,81,77,0.0000,2019.5.15.14.7.41,640,480,640,480
577,81,77,1.9697,2019.5.15.14.7.42,640,480,640,480
576,80,77,2.1875,2019.5.15.14.7.42,640,480,640,480
575,81,77,1.3079,2019.5.15.14.7.42,640,480,640,480
576,81,77,0.6219,2019.5.15.14.7.42,640,480,640,480
576,83,77,1.0425,2019.5.15.14.7.42,640,480,640,480
576,82,77,0.5521,2019.5.15.14.7.42,640,480,640,480
576,82,77,0.5558,2019.5.15.14.7.42,640,480,640,480
577,81,78,0.7928,2019.5.15.14.7.42,640,480,640,480
576,81,78,1.0706,2019.5.15.14.7.42,640,480,640,480
576,82,78,1.6028,2019.5.15.14.7.43,640,480,640,480
576,83,78,1.7185,2019.5.15.14.7.43,640,480,640,480
574,81,76,2.2574,2019.5.15.14.7.43,640,480,640,480
574,84,76,1.4819,2019.5.15.14.7.43,640,480,640,480
575,84,76,1.7240,2019.5.15.14.7.43,640,480,640,480
575,84,76,1.7217,2019.5.15.14.7.43,640,480,640,480
576,84,77,2.3461,2019.5.15.14.7.43,640,480,640,480
575,84,77,1.4140,2019.5.15.14.7.43,640,480,640,480
575,84,76,1.6283,2019.5.15.14.7.44,640,480,640,480
574,80,77,2.4936,2019.5.15.14.7.44,640,480,640,480
574,80,77,3.2643,2019.5.15.14.7.44,640,480,640,480
576,81,76,2.8341,2019.5.15.14.7.44,640,480,640,480
575,82,77,1.5079,2019.5.15.14.7.44,640,480,640,480
576,82,77,1.6066,2019.5.15.14.7.44,640,480,640,480
575,82,76,1.2215,2019.5.15.14.7.44,640,480,640,480
576,84,77,4.4297,2019.5.15.14.7.45,640,480,640,480
575,82,77,1.4110,2019.5.15.14.7.45,640,480,640,480
576,80,77,0.9855,2019.5.15.14.7.45,640,480,640,480
575,82,76,0.8886,2019.5.15.14.7.45,640,480,640,480
575,82,76,0.0000,2019.5.15.14.7.45,640,480,640,480
575,83,76,1.1980,2019.5.15.14.7.45,640,480,640,480
575,84,75,2.0286,2019.5.15.14.7.46,640,480,640,480
575,83,75,2.7770,2019.5.15.14.7.46,640,480,640,480
575,82,76,0.0000,2019.5.15.14.7.46,640,480,640,480
575,81,77,1.0169,2019.5.15.14.7.46,640,480,640,480
574,80,78,2.9496,2019.5.15.14.7.46,640,480,640,480
576,81,78,0.5990,2019.5.15.14.7.46,640,480,640,480
576,81,78,1.7489,2019.5.15.14.7.47,640,480,640,480
575,82,77,0.3913,2019.5.15.14.7.47,640,480,640,480
575,83,77,1.0786,2019.5.15.14.7.47,640,480,640,480
575,84,77,2.8588,2019.5.15.14.7.47,640,480,640,480
575,83,76,0.4307,2019.5.15.14.7.47,640,480,640,480
576,83,77,2.7758,2019.5.15.14.7.47,640,480,640,480
576,83,77,1.9621,2019.5.15.14.7.47,640,480,640,480
576,84,77,2.1879,2019.5.15.14.7.47,640,480,640,480
576,83,77,1.5140,2019.5.15.14.7.48,640,480,640,480
575,84,78,1.5357,2019.5.15.14.7.48,640,480,640,480
576,83,77,0.5529,2019.5.15.14.7.48,640,480,640,480
576,81,76,2.3409,2019.5.15.14.7.48,640,480,640,480
576,82,77,1.0966,2019.5.15.14.7.48,640,480,640,480
576,83,77,0.0000,2019.5.15.14.7.48,640,480,640,480
576,83,75,1.0172,2019.5.15.14.7.48,640,480,640,480
576,80,76,3.1315,2019.5.15.14.7.48,640,480,640,480
577,79,76,4.7062,2019.5.15.14.7.49,640,480,640,480
577,80,77,3.3174,2019.5.15.14.7.49,640,480,640,480
576,81,77,2.0969,2019.5.15.14.7.49,640,480,640,480
575,83,76,1.0409,2019.5.15.14.7.49,640,480,640,480
576,83,76,1.3261,2019.5.15.14.7.49,640,480,640,480
575,83,76,0.7633,2019.5.15.14.7.49,640,480,640,480
576,82,77,3.0362,2019.5.15.14.7.49,640,480,640,480
575,82,77,1.2603,2019.5.15.14.7.49,640,480,640,480
575,84,76,3.7625,2019.5.15.14.7.50,640,480,640,480
577,84,76,2.6818,2019.5.15.14.7.50,640,480,640,480
576,82,77,0.7433,2019.5.15.14.7.50,640,480,640,480
576,84,77,1.9812,2019.5.15.14.7.50,640,480,640,480
575,84,77,1.0725,2019.5.15.14.7.50,640,480,640,480
576,83,76,1.0749,2019.5.15.14.7.50,640,480,640,480
575,84,76,1.7109,2019.5.15.14.7.50,640,480,640,480
576,83,76,1.0927,2019.5.15.14.7.50,640,480,640,480
576,84,76,0.6460,2019.5.15.14.7.51,640,480,640,480
575,83,77,1.4641,2019.5.15.14.7.51,640,480,640,480
576,81,76,2.6204,2019.5.15.14.7.51,640,480,640,480
575,82,76,1.5225,2019.5.15.14.7.51,640,480,640,480
575,83,77,0.6735,2019.5.15.14.7.51,640,480,640,480
575,83,77,0.7194,2019.5.15.14.7.51,640,480,640,480
575,84,78,1.0048,2019.5.15.14.7.51,640,480,640,480
575,83,77,1.1170,2019.5.15.14.7.51,640,480,640,480
576,84,77,0.7411,2019.5.15.14.7.52,640,480,640,480
575,84,78,2.2742,2019.5.15.14.7.52,640,480,640,480
575,84,77,0.9759,2019.5.15.14.7.52,640,480,640,480
575,83,78,0.9118,2019.5.15.14.7.52,640,480,640,480
575,82,77,0.8278,2019.5.15.14.7.52,640,480,640,480
575,83,77,1.0119,2019.5.15.14.7.53,640,480,640,480
575,85,76,1.5008,2019.5.15.14.7.53,640,480,640,480
576,84,76,0.4699,2019.5.15.14.7.53,640,480,640,480
575,84,76,0.9659,2019.5.15.14.7.53,640,480,640,480
576,84,76,0.7100,2019.5.15.14.7.53,640,480,640,480
576,82,76,1.3834,2019.5.15.14.7.53,640,480,640,480
576,81,76,1.6492,2019.5.15.14.7.53,640,480,640,480
576,82,76,1.0872,2019.5.15.14.7.54,640,480,640,480
575,82,76,2.1054,2019.5.15.14.7.54,640,480,640,480
576,83,76,1.4314,2019.5.15.14.7.54,640,480,640,480
576,83,77,1.1197,2019.5.15.14.7.54,640,480,640,480
576,83,77,0.9891,2019.5.15.14.7.54,640,480,640,480
576,84,76,0.0000,2019.5.15.14.7.54,640,480,640,480
575,83,77,1.7342,2019.5.15.14.7.54,640,480,640,480
575,82,76,0.8514,2019.5.15.14.7.54,640,480,640,480
575,84,76,1.5636,2019.5.15.14.7.55,640,480,640,480
576,84,76,1.5498,2019.5.15.14.7.55,640,480,640,480
576,83,76,0.6288,2019.5.15.14.7.55,640,480,640,480
577,82,76,1.0662,2019.5.15.14.7.55,640,480,640,480
576,84,77,0.6268,2019.5.15.14.7.55,640,480,640,480
576,84,76,2.0596,2019.5.15.14.7.55,640,480,640,480
576,84,77,0.9219,2019.5.15.14.7.55,640,480,640,480
575,85,76,2.1961,2019.5.15.14.7.55,640,480,640,480
576,85,77,1.0391,2019.5.15.14.7.56,640,480,640,480
575,86,78,4.3047,2019.5.15.14.7.56,640,480,640,480
575,85,76,1.5456,2019.5.15.14.7.56,640,480,640,480
576,84,77,1.6423,2019.5.15.14.7.56,640,480,640,480
576,85,78,0.9315,2019.5.15.14.7.56,640,480,640,480
575,85,78,1.4604,2019.5.15.14.7.56,640,480,640,480
574,86,78,1.9600,2019.5.15.14.7.56,640,480,640,480
575,84,77,0.4978,2019.5.15.14.7.56,640,480,640,480
576,85,76,1.7205,2019.5.15.14.7.56,640,480,640,480
576,84,76,1.0915,2019.5.15.14.7.57,640,480,640,480
576,85,76,0.5665,2019.5.15.14.7.57,640,480,640,480
576,86,77,1.0803,2019.5.15.14.7.57,640,480,640,480
575,85,77,0.8047,2019.5.15.14.7.57,640,480,640,480
576,86,77,0.8396,2019.5.15.14.7.57,640,480,640,480
576,86,76,1.9480,2019.5.15.14.7.57,640,480,640,480
576,86,77,1.5662,2019.5.15.14.7.57,640,480,640,480
577,85,78,1.6488,2019.5.15.14.7.57,640,480,640,480
576,86,79,2.1886,2019.5.15.14.7.58,640,480,640,480
577,86,79,1.3740,2019.5.15.14.7.58,640,480,640,480
577,85,78,1.3687,2019.5.15.14.7.58,640,480,640,480
576,85,78,0.7621,2019.5.15.14.7.58,640,480,640,480
576,86,79,1.0789,2019.5.15.14.7.58,640,480,640,480
576,86,78,1.0784,2019.5.15.14.7.58,640,480,640,480
576,87,77,0.7392,2019.5.15.14.7.58,640,480,640,480
576,87,76,1.9161,2019.5.15.14.7.58,640,480,640,480
576,87,77,1.3363,2019.5.15.14.7.59,640,480,640,480
576,86,77,1.2512,2019.5.15.14.7.59,640,480,640,480
576,86,79,1.0607,2019.5.15.14.7.59,640,480,640,480
576,86,79,0.6774,2019.5.15.14.7.59,640,480,640,480
576,86,78,1.8681,2019.5.15.14.7.59,640,480,640,480
576,86,78,0.9078,2019.5.15.14.7.59,640,480,640,480
575,74,80,0.0000,2019.5.15.14.11.22,640,480,640,480
575,76,91,0.0000,2019.5.15.14.11.22,640,480,640,480
576,74,83,4.7411,2019.5.15.14.11.22,640,480,640,480
577,74,78,16.9861,2019.5.15.14.11.22,640,480,640,480
576,76,77,8.9640,2019.5.15.14.11.22,640,480,640,480
576,76,78,2.2109,2019.5.15.14.11.22,640,480,640,480
577,77,76,3.1444,2019.5.15.14.11.23,640,480,640,480
577,74,77,3.8726,2019.5.15.14.11.23,640,480,640,480
576,76,77,1.9483,2019.5.15.14.11.23,640,480,640,480
577,79,77,3.4732,2019.5.15.14.11.23,640,480,640,480
578,80,77,3.2795,2019.5.15.14.11.23,640,480,640,480
577,79,76,1.8565,2019.5.15.14.11.23,640,480,640,480
577,80,76,3.8700,2019.5.15.14.11.24,640,480,640,480
577,81,77,3.8307,2019.5.15.14.11.24,640,480,640,480
576,80,76,1.1600,2019.5.15.14.11.24,640,480,640,480
577,77,77,2.3825,2019.5.15.14.11.24,640,480,640,480
577,77,77,1.7220,2019.5.15.14.11.24,640,480,640,480
578,78,77,1.8970,2019.5.15.14.11.25,640,480,640,480
577,78,76,1.4107,2019.5.15.14.11.25,640,480,640,480
577,79,76,1.0523,2019.5.15.14.11.25,640,480,640,480
577,81,76,3.4252,2019.5.15.14.11.25,640,480,640,480
577,81,76,3.6152,2019.5.15.14.11.25,640,480,640,480
578,81,76,2.9384,2019.5.15.14.11.25,640,480,640,480
577,83,76,4.1263,2019.5.15.14.11.26,640,480,640,480
577,78,76,0.8254,2019.5.15.14.11.26,640,480,640,480
576,78,77,2.6743,2019.5.15.14.11.26,640,480,640,480
577,77,76,3.1237,2019.5.15.14.11.26,640,480,640,480
576,79,77,2.0730,2019.5.15.14.11.26,640,480,640,480
576,82,77,1.1537,2019.5.15.14.11.27,640,480,640,480
577,81,77,2.4544,2019.5.15.14.11.27,640,480,640,480
576,80,77,1.5763,2019.5.15.14.11.27,640,480,640,480
576,82,77,4.2833,2019.5.15.14.11.27,640,480,640,480
577,82,77,2.3265,2019.5.15.14.11.27,640,480,640,480
576,81,77,0.7882,2019.5.15.14.11.27,640,480,640,480
576,81,77,0.6892,2019.5.15.14.11.28,640,480,640,480
575,74,80,0.0000,2019.5.15.19.44.45,640,480,640,480
575,76,91,0.0000,2019.5.15.19.44.45,640,480,640,480
576,74,83,0.0000,2019.5.15.19.44.45,640,480,640,480
577,74,78,16.6273,2019.5.15.19.44.45,640,480,640,480
576,76,77,16.6273,2019.5.15.19.44.45,640,480,640,480
576,76,78,2.1811,2019.5.15.19.44.45,640,480,640,480
577,77,75,10.0369,2019.5.15.19.44.46,640,480,640,480
577,74,77,3.7585,2019.5.15.19.44.46,640,480,640,480
576,76,77,1.8212,2019.5.15.19.44.46,640,480,640,480
577,79,77,2.5225,2019.5.15.19.44.46,640,480,640,480
578,80,77,2.9138,2019.5.15.19.44.46,640,480,640,480
577,79,76,1.7380,2019.5.15.19.44.46,640,480,640,480
577,80,76,4.8797,2019.5.15.19.44.47,640,480,640,480
577,81,77,4.1419,2019.5.15.19.44.47,640,480,640,480
576,80,76,2.7020,2019.5.15.19.44.47,640,480,640,480
577,77,77,2.1295,2019.5.15.19.44.47,640,480,640,480
577,77,77,2.0339,2019.5.15.19.44.47,640,480,640,480
578,78,77,1.7210,2019.5.15.19.44.48,640,480,640,480
577,78,76,2.1345,2019.5.15.19.44.48,640,480,640,480
577,79,76,1.4107,2019.5.15.19.44.48,640,480,640,480
577,81,76,3.1096,2019.5.15.19.44.48,640,480,640,480
577,81,76,3.2505,2019.5.15.19.44.48,640,480,640,480
578,81,76,2.5067,2019.5.15.19.44.49,640,480,640,480
577,83,76,3.9912,2019.5.15.19.44.49,640,480,640,480
577,78,76,0.7868,2019.5.15.19.44.49,640,480,640,480
576,78,77,2.6005,2019.5.15.19.44.49,640,480,640,480
577,77,76,3.2815,2019.5.15.19.44.49,640,480,640,480
576,79,77,2.1037,2019.5.15.19.44.49,640,480,640,480
576,82,77,1.1696,2019.5.15.19.44.50,640,480,640,480
577,81,77,2.4908,2019.5.15.19.44.50,640,480,640,480
576,80,77,1.6243,2019.5.15.19.44.50,640,480,640,480
576,82,77,4.1864,2019.5.15.19.44.50,640,480,640,480
577,82,77,2.5674,2019.5.15.19.44.50,640,480,640,480
576,81,77,0.8437,2019.5.15.19.44.50,640,480,640,480
576,81,77,0.7108,2019.5.15.19.44.51,640,480,640,480
576,83,77,1.5212,2019.5.15.19.44.51,640,480,640,480
576,83,77,0.8382,2019.5.15.19.44.51,640,480,640,480
576,82,77,0.6324,2019.5.15.19.44.51,640,480,640,480
576,82,77,0.8350,2019.5.15.19.44.51,640,480,640,480
575,83,77,1.7232,2019.5.15.19.44.52,640,480,640,480
576,81,77,1.6672,2019.5.15.19.44.52,640,480,640,480
576,82,76,0.7244,2019.5.15.19.44.52,640,480,640,480
576,81,77,1.0116,2019.5.15.19.44.52,640,480,640,480
576,82,77,0.0000,2019.5.15.19.44.52,640,480,640,480
