coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
573,87,77,0.0000,2020.3.13.12.31.15,640,480,640,480
571,84,76,0.0000,2020.3.13.12.31.17,640,480,640,480
574,87,76,0.0000,2020.3.13.12.31.17,640,480,640,480
572,83,76,0.0000,2020.3.13.12.31.17,640,480,640,480
571,83,76,0.0000,2020.3.13.12.31.17,640,480,640,480
572,87,76,0.0000,2020.3.13.12.31.18,640,480,640,480
574,87,75,0.0000,2020.3.13.12.31.18,640,480,640,480
574,85,76,0.0000,2020.3.13.12.31.18,640,480,640,480
573,86,76,0.0000,2020.3.13.12.31.18,640,480,640,480
573,86,75,0.0000,2020.3.13.12.31.19,640,480,640,480
574,86,75,0.0000,2020.3.13.12.31.19,640,480,640,480
573,86,75,0.0000,2020.3.13.12.31.19,640,480,640,480
574,86,75,0.0000,2020.3.13.12.31.19,640,480,640,480
573,85,75,0.0000,2020.3.13.12.31.19,640,480,640,480
573,85,75,0.0000,2020.3.13.12.31.20,640,480,640,480
571,87,75,0.0000,2020.3.13.12.31.20,640,480,640,480
571,83,76,0.0000,2020.3.13.12.31.20,640,480,640,480
573,85,76,0.0000,2020.3.13.12.31.20,640,480,640,480
573,84,74,0.0000,2020.3.13.12.31.20,640,480,640,480
588,85,76,0.0000,2020.3.13.12.31.21,640,480,640,480
587,84,76,0.0000,2020.3.13.12.31.21,640,480,640,480
587,82,75,0.0000,2020.3.13.12.31.21,640,480,640,480
586,84,75,0.0000,2020.3.13.12.31.21,640,480,640,480
586,84,75,0.0000,2020.3.13.12.31.21,640,480,640,480
586,84,75,0.0000,2020.3.13.12.31.22,640,480,640,480
586,82,76,0.0000,2020.3.13.12.31.22,640,480,640,480
586,82,74,0.0000,2020.3.13.12.31.22,640,480,640,480
587,84,75,0.0000,2020.3.13.12.31.22,640,480,640,480
586,84,76,0.0000,2020.3.13.12.31.22,640,480,640,480
586,85,77,0.0000,2020.3.13.12.31.23,640,480,640,480
585,85,76,0.0000,2020.3.13.12.31.23,640,480,640,480
587,83,76,0.0000,2020.3.13.12.31.23,640,480,640,480
586,83,74,0.0000,2020.3.13.12.31.23,640,480,640,480
586,83,75,0.0000,2020.3.13.12.31.23,640,480,640,480
585,84,74,0.0000,2020.3.13.12.31.23,640,480,640,480
585,83,75,0.0000,2020.3.13.12.31.24,640,480,640,480
586,85,75,0.0000,2020.3.13.12.31.24,640,480,640,480
586,84,74,0.0000,2020.3.13.12.31.24,640,480,640,480
586,85,75,0.0000,2020.3.13.12.31.24,640,480,640,480
588,87,75,0.0000,2020.3.13.12.31.27,640,480,640,480
586,88,75,0.0000,2020.3.13.12.31.28,640,480,640,480
587,78,75,0.0000,2020.3.13.12.31.33,640,480,640,480
589,77,76,0.0000,2020.3.13.12.31.35,640,480,640,480
