coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
575,74,80,0.0000,2019.5.14.14.37.42,640,480,640,480
575,76,91,0.0000,2019.5.14.14.37.43,640,480,640,480
576,74,83,4.9012,2019.5.14.14.37.43,640,480,640,480
577,74,78,22.0615,2019.5.14.14.37.43,640,480,640,480
576,76,77,22.0615,2019.5.14.14.37.43,640,480,640,480
576,76,78,2.1926,2019.5.14.14.37.43,640,480,640,480
577,77,75,10.2991,2019.5.14.14.37.44,640,480,640,480
577,74,77,3.8067,2019.5.14.14.37.44,640,480,640,480
576,76,77,1.8928,2019.5.14.14.37.44,640,480,640,480
577,79,77,3.5548,2019.5.14.14.37.44,640,480,640,480
578,80,77,3.6243,2019.5.14.14.37.44,640,480,640,480
577,79,76,1.7770,2019.5.14.14.37.44,640,480,640,480
577,80,76,5.0420,2019.5.14.14.37.45,640,480,640,480
577,81,77,4.2561,2019.5.14.14.37.45,640,480,640,480
576,80,76,2.9610,2019.5.14.14.37.45,640,480,640,480
577,77,77,1.4396,2019.5.14.14.37.45,640,480,640,480
577,77,77,2.3982,2019.5.14.14.37.45,640,480,640,480
578,78,77,1.3067,2019.5.14.14.37.45,640,480,640,480
577,78,76,0.6537,2019.5.14.14.37.45,640,480,640,480
577,79,76,1.2888,2019.5.14.14.37.46,640,480,640,480
577,81,76,1.0686,2019.5.14.14.37.46,640,480,640,480
577,81,76,0.9392,2019.5.14.14.37.46,640,480,640,480
578,81,76,1.1504,2019.5.14.14.37.46,640,480,640,480
577,83,76,5.1049,2019.5.14.14.37.46,640,480,640,480
577,78,76,0.8138,2019.5.14.14.37.46,640,480,640,480
576,78,77,1.2658,2019.5.14.14.37.46,640,480,640,480
577,77,76,1.5289,2019.5.14.14.37.47,640,480,640,480
576,79,77,0.7238,2019.5.14.14.37.47,640,480,640,480
576,82,77,1.0288,2019.5.14.14.37.47,640,480,640,480
577,81,77,0.4775,2019.5.14.14.37.47,640,480,640,480
576,80,77,1.4666,2019.5.14.14.37.47,640,480,640,480
576,82,77,1.0476,2019.5.14.14.37.47,640,480,640,480
577,82,77,3.3274,2019.5.14.14.37.47,640,480,640,480
576,81,77,1.8150,2019.5.14.14.37.47,640,480,640,480
576,81,77,1.5229,2019.5.14.14.37.48,640,480,640,480
576,83,77,0.7625,2019.5.14.14.37.48,640,480,640,480
576,83,77,2.4823,2019.5.14.14.37.48,640,480,640,480
576,82,77,0.0000,2019.5.14.14.37.48,640,480,640,480
576,82,77,0.6863,2019.5.14.14.37.48,640,480,640,480
575,83,77,1.3400,2019.5.14.14.37.48,640,480,640,480
576,81,77,1.9418,2019.5.14.14.37.48,640,480,640,480
576,82,76,1.0061,2019.5.14.14.37.49,640,480,640,480
576,81,77,1.4639,2019.5.14.14.37.49,640,480,640,480
576,82,77,0.0000,2019.5.14.14.37.49,640,480,640,480
