coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
573,87,77,0.0000,2020.3.6.9.37.35,640,480,640,480
571,84,76,0.0000,2020.3.6.9.37.37,640,480,640,480
574,87,77,0.0000,2020.3.6.9.37.37,640,480,640,480
572,83,76,0.0000,2020.3.6.9.37.37,640,480,640,480
571,83,76,0.0000,2020.3.6.9.37.37,640,480,640,480
572,87,77,0.0000,2020.3.6.9.37.38,640,480,640,480
574,87,75,0.0000,2020.3.6.9.37.38,640,480,640,480
574,85,76,0.0000,2020.3.6.9.37.38,640,480,640,480
573,86,76,0.0000,2020.3.6.9.37.38,640,480,640,480
573,86,75,0.0000,2020.3.6.9.37.39,640,480,640,480
574,86,75,0.0000,2020.3.6.9.37.39,640,480,640,480
573,86,75,0.0000,2020.3.6.9.37.39,640,480,640,480
574,86,75,0.0000,2020.3.6.9.37.39,640,480,640,480
573,85,75,0.0000,2020.3.6.9.37.40,640,480,640,480
573,85,75,0.0000,2020.3.6.9.37.40,640,480,640,480
571,87,75,0.0000,2020.3.6.9.37.40,640,480,640,480
571,83,76,0.0000,2020.3.6.9.37.40,640,480,640,480
573,85,76,0.0000,2020.3.6.9.37.40,640,480,640,480
573,84,75,0.0000,2020.3.6.9.37.40,640,480,640,480
573,85,76,0.0000,2020.3.6.9.37.40,640,480,640,480
571,85,76,0.0000,2020.3.6.9.37.41,640,480,640,480
571,81,75,0.0000,2020.3.6.9.37.41,640,480,640,480
572,85,75,0.0000,2020.3.6.9.37.41,640,480,640,480
571,83,76,0.0000,2020.3.6.9.37.42,640,480,640,480
573,84,74,0.0000,2020.3.6.9.37.42,640,480,640,480
571,85,75,0.0000,2020.3.6.9.37.42,640,480,640,480
572,83,75,0.0000,2020.3.6.9.37.42,640,480,640,480
572,84,74,0.0000,2020.3.6.9.37.43,640,480,640,480
572,84,75,0.0000,2020.3.6.9.37.43,640,480,640,480
573,84,74,0.0000,2020.3.6.9.37.44,640,480,640,480
574,84,74,0.0000,2020.3.6.9.37.44,640,480,640,480
574,85,75,0.0000,2020.3.6.9.37.44,640,480,640,480
573,85,75,0.0000,2020.3.6.9.37.44,640,480,640,480
573,85,76,0.0000,2020.3.6.9.37.44,640,480,640,480
573,84,74,0.0000,2020.3.6.9.37.45,640,480,640,480
572,84,75,0.0000,2020.3.6.9.37.45,640,480,640,480
572,84,75,0.0000,2020.3.6.9.37.45,640,480,640,480
572,83,74,0.0000,2020.3.6.9.37.45,640,480,640,480
