coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
544,215,165,0.0000,2019.6.4.16.46.40,640,480,640,480
544,214,165,0.0000,2019.6.4.16.46.40,640,480,640,480
544,213,165,3.9753,2019.6.4.16.46.40,640,480,640,480
544,214,164,5.0553,2019.6.4.16.46.41,640,480,640,480
545,215,164,5.0553,2019.6.4.16.46.41,640,480,640,480
548,190,161,20.6553,2019.6.4.16.46.41,640,480,640,480
547,187,162,22.4611,2019.6.4.16.46.41,640,480,640,480
547,186,163,22.4532,2019.6.4.16.46.41,640,480,640,480
548,185,162,24.1030,2019.6.4.16.46.41,640,480,640,480
547,181,163,28.0605,2019.6.4.16.46.42,640,480,640,480
547,180,164,23.7020,2019.6.4.16.46.42,640,480,640,480
548,178,163,7.7173,2019.6.4.16.46.42,640,480,640,480
547,178,162,7.1949,2019.6.4.16.46.42,640,480,640,480
548,176,161,7.7158,2019.6.4.16.46.42,640,480,640,480
548,174,161,6.1240,2019.6.4.16.46.42,640,480,640,480
549,174,160,5.9210,2019.6.4.16.46.43,640,480,640,480
549,172,161,5.0553,2019.6.4.16.46.43,640,480,640,480
549,171,160,6.1363,2019.6.4.16.46.43,640,480,640,480
550,172,160,4.6026,2019.6.4.16.46.43,640,480,640,480
550,170,159,3.8427,2019.6.4.16.46.43,640,480,640,480
551,170,159,3.3436,2019.6.4.16.46.44,640,480,640,480
550,168,159,3.6817,2019.6.4.16.46.44,640,480,640,480
551,168,158,3.1056,2019.6.4.16.46.44,640,480,640,480
550,169,158,1.8381,2019.6.4.16.46.44,640,480,640,480
551,168,158,1.9106,2019.6.4.16.46.44,640,480,640,480
550,168,158,1.5197,2019.6.4.16.46.44,640,480,640,480
550,168,158,1.6423,2019.6.4.16.46.45,640,480,640,480
550,167,159,1.3909,2019.6.4.16.46.45,640,480,640,480
550,169,158,0.5010,2019.6.4.16.46.46,640,480,640,480
551,167,158,0.4444,2019.6.4.16.46.46,640,480,640,480
550,168,157,0.3896,2019.6.4.16.46.46,640,480,640,480
550,168,158,0.0000,2019.6.4.16.46.46,640,480,640,480
