coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
574,114,87,0.0000,2019.6.5.18.31.1,640,480,640,480
574,114,87,0.0000,2019.6.5.18.31.1,640,480,640,480
574,114,88,0.0000,2019.6.5.18.31.1,640,480,640,480
574,114,87,3.3777,2019.6.5.18.31.1,640,480,640,480
575,115,86,6.6727,2019.6.5.18.31.2,640,480,640,480
574,114,87,6.6727,2019.6.5.18.31.2,640,480,640,480
573,114,87,0.6122,2019.6.5.18.31.2,640,480,640,480
574,113,87,0.6990,2019.6.5.18.31.2,640,480,640,480
573,113,87,1.1400,2019.6.5.18.31.2,640,480,640,480
573,113,88,2.7895,2019.6.5.18.31.2,640,480,640,480
573,113,86,1.9898,2019.6.5.18.31.2,640,480,640,480
573,114,85,1.3401,2019.6.5.18.31.3,640,480,640,480
573,115,87,0.7962,2019.6.5.18.31.3,640,480,640,480
573,114,87,0.0000,2019.6.5.18.31.3,640,480,640,480
574,113,85,2.2046,2019.6.5.18.31.3,640,480,640,480
573,113,86,1.1616,2019.6.5.18.31.3,640,480,640,480
573,114,85,0.9719,2019.6.5.18.31.3,640,480,640,480
574,113,85,0.9732,2019.6.5.18.31.4,640,480,640,480
573,114,87,0.7569,2019.6.5.18.31.4,640,480,640,480
573,113,86,0.9625,2019.6.5.18.31.4,640,480,640,480
573,114,86,1.1345,2019.6.5.18.31.4,640,480,640,480
574,112,86,0.9664,2019.6.5.18.31.4,640,480,640,480
573,112,85,1.5608,2019.6.5.18.31.4,640,480,640,480
572,112,85,1.3989,2019.6.5.18.31.5,640,480,640,480
572,113,87,1.0027,2019.6.5.18.31.5,640,480,640,480
571,113,85,1.6121,2019.6.5.18.31.5,640,480,640,480
573,113,85,0.5145,2019.6.5.18.31.5,640,480,640,480
572,112,85,1.3915,2019.6.5.18.31.5,640,480,640,480
572,110,85,1.8163,2019.6.5.18.31.5,640,480,640,480
572,112,86,1.2877,2019.6.5.18.31.5,640,480,640,480
572,112,86,0.6692,2019.6.5.18.31.5,640,480,640,480
572,112,86,0.9071,2019.6.5.18.31.6,640,480,640,480
572,111,86,1.8921,2019.6.5.18.31.6,640,480,640,480
571,112,86,0.9053,2019.6.5.18.31.6,640,480,640,480
572,114,85,0.7960,2019.6.5.18.31.6,640,480,640,480
571,113,86,1.0247,2019.6.5.18.31.6,640,480,640,480
572,112,85,0.6094,2019.6.5.18.31.6,640,480,640,480
572,113,85,1.0750,2019.6.5.18.31.6,640,480,640,480
572,113,86,0.5554,2019.6.5.18.31.7,640,480,640,480
