coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
573,87,77,0.0000,2019.8.9.15.49.21,640,480,640,480
571,84,76,0.0000,2019.8.9.15.49.22,640,480,640,480
574,87,76,0.0000,2019.8.9.15.49.22,640,480,640,480
572,83,76,0.0000,2019.8.9.15.49.23,640,480,640,480
571,83,76,0.0000,2019.8.9.15.49.23,640,480,640,480
572,87,76,0.0000,2019.8.9.15.49.23,640,480,640,480
574,87,75,0.0000,2019.8.9.15.49.23,640,480,640,480
574,85,76,0.0000,2019.8.9.15.49.24,640,480,640,480
573,86,76,0.0000,2019.8.9.15.49.24,640,480,640,480
573,86,74,0.0000,2019.8.9.15.49.24,640,480,640,480
574,86,75,0.0000,2019.8.9.15.49.24,640,480,640,480
573,86,75,0.0000,2019.8.9.15.49.24,640,480,640,480
574,86,75,0.0000,2019.8.9.15.49.24,640,480,640,480
573,85,75,0.0000,2019.8.9.15.49.25,640,480,640,480
573,85,75,0.0000,2019.8.9.15.49.25,640,480,640,480
571,87,74,0.0000,2019.8.9.15.49.25,640,480,640,480
571,83,76,0.0000,2019.8.9.15.49.25,640,480,640,480
573,85,76,0.0000,2019.8.9.15.49.25,640,480,640,480
573,84,74,0.0000,2019.8.9.15.49.25,640,480,640,480
573,85,76,0.0000,2019.8.9.15.49.26,640,480,640,480
571,85,76,0.0000,2019.8.9.15.49.26,640,480,640,480
571,81,75,0.0000,2019.8.9.15.49.26,640,480,640,480
572,85,75,0.0000,2019.8.9.15.49.26,640,480,640,480
571,83,76,0.0000,2019.8.9.15.49.27,640,480,640,480
573,84,74,0.0000,2019.8.9.15.49.27,640,480,640,480
571,85,75,0.0000,2019.8.9.15.49.27,640,480,640,480
572,83,76,0.0000,2019.8.9.15.49.28,640,480,640,480
572,84,74,0.0000,2019.8.9.15.49.28,640,480,640,480
572,84,75,0.0000,2019.8.9.15.49.28,640,480,640,480
573,84,74,0.0000,2019.8.9.15.49.29,640,480,640,480
574,84,74,0.0000,2019.8.9.15.49.29,640,480,640,480
574,85,75,0.0000,2019.8.9.15.49.30,640,480,640,480
573,85,75,0.0000,2019.8.9.15.49.30,640,480,640,480
573,85,75,0.0000,2019.8.9.15.49.30,640,480,640,480
573,84,74,0.0000,2019.8.9.15.49.30,640,480,640,480
572,84,75,0.0000,2019.8.9.15.49.30,640,480,640,480
572,84,75,0.0000,2019.8.9.15.49.31,640,480,640,480
572,83,74,0.0000,2019.8.9.15.49.31,640,480,640,480
572,82,75,0.0000,2019.8.9.15.49.31,640,480,640,480
572,82,75,0.0000,2019.8.9.15.49.31,640,480,640,480
573,85,75,0.0000,2019.8.9.15.49.32,640,480,640,480
573,86,74,0.0000,2019.8.9.15.49.32,640,480,640,480
574,86,75,0.0000,2019.8.9.15.49.32,640,480,640,480
575,87,75,0.0000,2019.8.9.15.49.32,640,480,640,480
574,87,74,0.0000,2019.8.9.15.49.32,640,480,640,480
573,87,75,0.0000,2019.8.9.15.49.32,640,480,640,480
573,86,76,0.0000,2019.8.9.15.49.33,640,480,640,480
572,86,75,0.0000,2019.8.9.15.49.34,640,480,640,480
573,85,75,0.0000,2019.8.9.15.49.34,640,480,640,480
574,85,75,0.0000,2019.8.9.15.49.34,640,480,640,480
