coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
573,87,77,0.0000,2019.10.25.17.34.58,640,480,640,480
571,84,76,0.0000,2019.10.25.17.35.0,640,480,640,480
574,87,76,0.0000,2019.10.25.17.35.0,640,480,640,480
572,83,76,0.0000,2019.10.25.17.35.0,640,480,640,480
571,83,76,0.0000,2019.10.25.17.35.0,640,480,640,480
572,87,76,0.0000,2019.10.25.17.35.1,640,480,640,480
574,87,75,0.0000,2019.10.25.17.35.1,640,480,640,480
574,85,76,0.0000,2019.10.25.17.35.1,640,480,640,480
573,86,76,0.0000,2019.10.25.17.35.1,640,480,640,480
573,86,75,0.0000,2019.10.25.17.35.2,640,480,640,480
574,86,75,0.0000,2019.10.25.17.35.2,640,480,640,480
573,86,75,0.0000,2019.10.25.17.35.2,640,480,640,480
574,86,75,0.0000,2019.10.25.17.35.2,640,480,640,480
573,85,75,0.0000,2019.10.25.17.35.3,640,480,640,480
573,85,75,0.0000,2019.10.25.17.35.3,640,480,640,480
571,87,75,0.0000,2019.10.25.17.35.3,640,480,640,480
571,83,76,0.0000,2019.10.25.17.35.3,640,480,640,480
