coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
573,87,77,0.0000,2020.3.12.17.54.41,640,480,640,480
571,84,76,0.0000,2020.3.12.17.54.43,640,480,640,480
574,87,77,0.0000,2020.3.12.17.54.43,640,480,640,480
572,83,76,0.0000,2020.3.12.17.54.43,640,480,640,480
571,83,76,0.0000,2020.3.12.17.54.43,640,480,640,480
572,87,77,0.0000,2020.3.12.17.54.44,640,480,640,480
574,87,75,0.0000,2020.3.12.17.54.44,640,480,640,480
574,85,76,0.0000,2020.3.12.17.54.44,640,480,640,480
573,86,76,0.0000,2020.3.12.17.54.44,640,480,640,480
573,86,75,0.0000,2020.3.12.17.54.45,640,480,640,480
574,86,75,0.0000,2020.3.12.17.54.45,640,480,640,480
573,86,75,0.0000,2020.3.12.17.54.45,640,480,640,480
574,86,75,0.0000,2020.3.12.17.54.45,640,480,640,480
573,85,75,0.0000,2020.3.12.17.54.45,640,480,640,480
573,85,75,0.0000,2020.3.12.17.54.45,640,480,640,480
571,87,75,0.0000,2020.3.12.17.54.46,640,480,640,480
571,83,76,0.0000,2020.3.12.17.54.46,640,480,640,480
573,85,76,0.0000,2020.3.12.17.54.46,640,480,640,480
573,84,74,0.0000,2020.3.12.17.54.46,640,480,640,480
573,85,76,0.0000,2020.3.12.17.54.46,640,480,640,480
571,85,76,0.0000,2020.3.12.17.54.47,640,480,640,480
571,81,75,0.0000,2020.3.12.17.54.47,640,480,640,480
572,85,75,0.0000,2020.3.12.17.54.47,640,480,640,480
571,83,76,0.0000,2020.3.12.17.54.47,640,480,640,480
573,84,74,0.0000,2020.3.12.17.54.48,640,480,640,480
571,85,75,0.0000,2020.3.12.17.54.48,640,480,640,480
572,83,76,0.0000,2020.3.12.17.54.49,640,480,640,480
572,84,74,0.0000,2020.3.12.17.54.49,640,480,640,480
572,84,75,0.0000,2020.3.12.17.54.49,640,480,640,480
567,87,75,0.0000,2020.3.12.17.54.49,640,480,640,480
568,86,74,0.0000,2020.3.12.17.54.50,640,480,640,480
567,86,75,0.0000,2020.3.12.17.54.50,640,480,640,480
566,88,74,0.0000,2020.3.12.17.54.50,640,480,640,480
567,86,74,0.0000,2020.3.12.17.54.50,640,480,640,480
567,87,75,0.0000,2020.3.12.17.54.50,640,480,640,480
568,87,75,0.0000,2020.3.12.17.54.51,640,480,640,480
568,88,74,0.0000,2020.3.12.17.54.51,640,480,640,480
568,89,75,0.0000,2020.3.12.17.54.51,640,480,640,480
567,87,74,0.0000,2020.3.12.17.54.51,640,480,640,480
567,86,75,0.0000,2020.3.12.17.54.51,640,480,640,480
567,86,75,0.0000,2020.3.12.17.54.51,640,480,640,480
567,84,74,0.0000,2020.3.12.17.54.52,640,480,640,480
567,85,75,0.0000,2020.3.12.17.54.52,640,480,640,480
567,87,74,0.0000,2020.3.12.17.54.52,640,480,640,480
567,88,74,0.0000,2020.3.12.17.54.52,640,480,640,480
568,87,75,0.0000,2020.3.12.17.54.52,640,480,640,480
568,86,75,0.0000,2020.3.12.17.54.53,640,480,640,480
569,87,75,0.0000,2020.3.12.17.54.53,640,480,640,480
568,87,75,0.0000,2020.3.12.17.54.53,640,480,640,480
569,89,75,0.0000,2020.3.12.17.54.53,640,480,640,480
569,88,74,0.0000,2020.3.12.17.54.53,640,480,640,480
568,88,75,0.0000,2020.3.12.17.54.54,640,480,640,480
568,87,76,0.0000,2020.3.12.17.54.54,640,480,640,480
568,86,74,0.0000,2020.3.12.17.54.54,640,480,640,480
568,87,76,0.0000,2020.3.12.17.54.54,640,480,640,480
568,88,75,0.0000,2020.3.12.17.54.54,640,480,640,480
566,84,75,0.0000,2020.3.12.17.54.55,640,480,640,480
567,85,77,0.0000,2020.3.12.17.54.55,640,480,640,480
567,86,75,0.0000,2020.3.12.17.54.55,640,480,640,480
568,85,76,0.0000,2020.3.12.17.54.55,640,480,640,480
569,85,74,0.0000,2020.3.12.17.54.55,640,480,640,480
569,86,74,0.0000,2020.3.12.17.54.55,640,480,640,480
568,86,75,0.0000,2020.3.12.17.54.56,640,480,640,480
568,85,74,0.0000,2020.3.12.17.54.56,640,480,640,480
568,86,75,0.0000,2020.3.12.17.54.56,640,480,640,480
568,86,76,0.0000,2020.3.12.17.54.56,640,480,640,480
569,87,76,0.0000,2020.3.12.17.54.56,640,480,640,480
